Order,SummitCode,Name,Lat,Long,ChaseCount,FirstChaseDate,,,,,
70,W7W/SK-163,Devils Mountain,48.3649,-122.2682,2,2025-04-26,,,,,
71,W7A/CS-013,A 1 Mountain,35.2346,-111.7367,1,2025-04-26,,,,,
72,W6/NC-423,Mount Davidson,37.7382,-122.4533,4,2025-04-26,,,,,
73,W6/CT-240,1428,33.9557,-117.8949,1,2025-04-26,,,,,
74,W7W/CH-211,Blag Mountain,47.6019,-120.5097,1,2025-04-27,,,,,
75,W7W/CH-222,3855 Spectrum Mtn,47.6728,-120.5609,1,2025-04-27,,,,,
76,W6/CD-003,Telescope Peak,36.17,-117.0892,1,2025-04-27,,,,,
77,W7I/CI-109,Cotterel Mountains HP,42.3611,-113.4561,1,2025-04-29,,,,,
78,W7W/SN-157,Gold Mountain,48.2444,-121.545,1,2025-04-29,,,,,
79,W7W/KG-130,1690 Hellschreiber Pk,47.6875,-121.774,1,2025-05-06,,,,,
80,W6/NS-160,Sardine Peak,39.5403,-120.1877,1,2025-05-07,,,,,
81,W7W/NO-055,Mount Townsend,47.8675,-123.0594,2,2025-05-07,,,,,
82,W7W/NO-163,Mount Walker,47.7886,-122.9064,2,2025-05-08,,,,,
83,W7W/CW-083,4235 Inductance Mtn,47.1914,-121.1567,1,2025-05-09,,,,,
84,W7U/UT-043,View Benchmark,40.463,-111.8531,1,2025-05-10,,,,,
85,W6/SC-347,1470,34.1138,-118.7293,1,2025-05-17,,,,,
86,W6/SC-362,Signal Peak,33.606,-117.8118,1,2025-05-25,,,,,
87,K0M/NE-026,Carlton Peak,47.5834,-90.8603,1,2025-05-25,,,,,
88,W6/SC-458,Loma Alta,36.5634,-121.8769,1,2025-05-25,,,,,
89,W0C/LG-041,Green Mountain,38.2903,-106.6478,1,2025-05-25,,,,,
90,W6/NS-061,Monument Peak,38.9228,-119.8975,1,2025-05-25,,,,,
91,W7W/CH-208,Burch Mountain,47.5821,-120.3937,2,2025-05-25,,,,,
92,W7O/SC-168,Coos Mountain,43.2823,-123.8997,1,2025-05-25,,,,,
93,W7M/LI-090,Sheppard Mountain,48.358,-114.9102,1,2025-05-25,,,,,
94,W6/CT-012,Waterman Mountain,34.3365,-117.9368,1,2025-05-25,,,,,
95,W7W/WH-206,South Lookout Mountain,48.8223,-121.9315,1,2025-05-25,,,,,
96,W6/CT-015,Pacifico Mountain,34.3821,-118.0346,1,2025-05-31,,,,,
97,W0C/SR-054,Tremont Mountain,39.8664,-105.4367,1,2025-05-31,,,,,
98,W6/NS-132,Babbitt Peak,39.6023,-120.1057,1,2025-05-31,,,,,
99,W0C/PR-148,8595,39.7289,-105.4117,3,2025-05-31,,,,,
100,W6/CT-225,Flint Peak,34.1636,-118.1967,1,2025-05-31,,,,,
101,W0D/BB-070,5604,43.6485,-103.5278,2,2025-05-31,,,,,
102,W6/NC-298,Vollmer Peak,37.8834,-122.2218,2,2025-05-31,,,,,
103,W7W/KG-073,Bandera Mountain,47.4154,-121.5378,1,2025-05-31,,,,,
104,W7W/KG-074,Sawmill Ridge,47.151,-121.433,2,2025-05-31,,,,,
105,W7W/RS-010,Crystal Mountain,46.9157,-121.5037,1,2025-06-05,,,,,
106,W7W/CW-075,Big Muffin,47.2867,-121.4193,2,2025-06-07,,,,,
107,W7W/CW-028,Miller Peak,47.3941,-120.7441,1,2025-06-07,,,,,
108,W7W/KG-146,Bearscout Peak,47.349,-121.4994,2,2025-06-07,,,,,
109,W7W/SN-158,Blue Mountain,47.9585,-121.722,2,2025-06-11,,,,,
110,W7O/CS-098,Bieberstedt Butte,42.4103,-122.4731,1,2025-06-17,,,,,
111,W7W/MC-025,Burnt Mountain,46.7078,-121.1962,1,2025-06-19,,,,,
